DATE,Sales in $MM
1/1/92,"$10,845 "
2/1/92,"$10,904 "
3/1/92,"$10,986 "
4/1/92,"$10,738 "
5/1/92,"$10,777 "
6/1/92,"$10,790 "
7/1/92,"$10,785 "
8/1/92,"$10,915 "
9/1/92,"$10,980 "
10/1/92,"$10,971 "
11/1/92,"$10,873 "
12/1/92,"$11,082 "
1/1/93,"$11,333 "
2/1/93,"$11,410 "
3/1/93,"$11,184 "
4/1/93,"$11,417 "
5/1/93,"$11,720 "
6/1/93,"$11,669 "
7/1/93,"$11,781 "
8/1/93,"$11,875 "
9/1/93,"$11,786 "
10/1/93,"$11,908 "
11/1/93,"$12,297 "
12/1/93,"$12,583 "
1/1/94,"$12,316 "
2/1/94,"$12,233 "
3/1/94,"$12,767 "
4/1/94,"$13,076 "
5/1/94,"$13,033 "
6/1/94,"$12,987 "
7/1/94,"$13,130 "
8/1/94,"$13,224 "
9/1/94,"$13,375 "
10/1/94,"$13,550 "
11/1/94,"$13,384 "
12/1/94,"$13,981 "
1/1/95,"$13,738 "
2/1/95,"$13,613 "
3/1/95,"$13,587 "
4/1/95,"$13,415 "
5/1/95,"$13,370 "
6/1/95,"$13,548 "
7/1/95,"$13,645 "
8/1/95,"$13,683 "
9/1/95,"$13,837 "
10/1/95,"$13,932 "
11/1/95,"$14,092 "
12/1/95,"$14,683 "
1/1/96,"$14,023 "
2/1/96,"$14,036 "
3/1/96,"$14,153 "
4/1/96,"$14,340 "
5/1/96,"$14,450 "
6/1/96,"$14,902 "
7/1/96,"$14,826 "
8/1/96,"$14,981 "
9/1/96,"$14,989 "
10/1/96,"$15,040 "
11/1/96,"$15,264 "
12/1/96,"$14,980 "
1/1/97,"$15,197 "
2/1/97,"$15,561 "
3/1/97,"$15,862 "
4/1/97,"$15,709 "
5/1/97,"$15,805 "
6/1/97,"$15,918 "
7/1/97,"$15,973 "
8/1/97,"$16,027 "
9/1/97,"$16,283 "
10/1/97,"$16,232 "
11/1/97,"$16,158 "
12/1/97,"$16,356 "
1/1/98,"$16,436 "
2/1/98,"$16,462 "
3/1/98,"$16,511 "
4/1/98,"$16,716 "
5/1/98,"$16,741 "
6/1/98,"$16,662 "
7/1/98,"$16,819 "
