DATE,TTLHH,,,,,,,,,,,,,,,,,
1/1/92,95669,,,,,,,,,,,,,,,,,
1/2/92,95669,,,,,,,,,,,,,,,,,
1/3/92,95669,,,,,,,,,,,,,,,,,
1/4/92,95669,,,,,,,,,,,,,,,,,
1/5/92,95669,,,,,,,,,,,,,,,,,
1/6/92,95669,,,,,,,,,,,,,,,,,
1/7/92,95669,,,,,,,,,,,,,,,,,
1/8/92,95669,,,,,,,,,,,,,,,,,
1/9/92,95669,,,,,,,,,,,,,,,,,
1/10/92,95669,,,,,,,,,,,,,,,,,
1/11/92,95669,,,,,,,,,,,,,,,,,
1/12/92,95669,,,,,,,,,,,,,,,,,
1/1/93,96426,,,,,,,,,,,,,,,,,
1/2/93,96426,,,,,,,,,,,,,,,,,
1/3/93,96426,,,,,,,,,,,,,,,,,
1/4/93,96426,,,,,,,,,,,,,,,,,
1/5/93,96426,,,,,,,,,,,,,,,,,
1/6/93,96426,,,,,,,,,,,,,,,,,
1/7/93,96426,,,,,,,,,,,,,,,,,
1/8/93,96426,,,,,,,,,,,,,,,,,
1/9/93,96426,,,,,,,,,,,,,,,,,
1/10/93,96426,,,,,,,,,,,,,,,,,
1/11/93,96426,,,,,,,,,,,,,,,,,
1/12/93,96426,,,,,,,,,,,,,,,,,
1/1/94,97107,,,,,,,,,,,,,,,,,
1/2/94,97107,,,,,,,,,,,,,,,,,
1/3/94,97107,,,,,,,,,,,,,,,,,
1/4/94,97107,,,,,,,,,,,,,,,,,
1/5/94,97107,,,,,,,,,,,,,,,,,
1/6/94,97107,,,,,,,,,,,,,,,,,
1/7/94,97107,,,,,,,,,,,,,,,,,
1/8/94,97107,,,,,,,,,,,,,,,,,
1/9/94,97107,,,,,,,,,,,,,,,,,
1/10/94,97107,,,,,,,,,,,,,,,,,
1/11/94,97107,,,,,,,,,,,,,,,,,
1/12/94,97107,,,,,,,,,,,,,,,,,
1/1/95,98990,,,,,,,,,,,,,,,,,
1/2/95,98990,,,,,,,,,,,,,,,,,
1/3/95,98990,,,,,,,,,,,,,,,,,
1/4/95,98990,,,,,,,,,,,,,,,,,
1/5/95,98990,,,,,,,,,,,,,,,,,
1/6/95,98990,,,,,,,,,,,,,,,,,
1/7/95,98990,,,,,,,,,,,,,,,,,
1/8/95,98990,,,,,,,,,,,,,,,,,
1/9/95,98990,,,,,,,,,,,,,,,,,
1/10/95,98990,,,,,,,,,,,,,,,,,
1/11/95,98990,,,,,,,,,,,,,,,,,
1/12/95,98990,,,,,,,,,,,,,,,,,
1/1/96,99627,,,,,,,,,,,,,,,,,
1/2/96,99627,,,,,,,,,,,,,,,,,
1/3/96,99627,,,,,,,,,,,,,,,,,
1/4/96,99627,,,,,,,,,,,,,,,,,
1/5/96,99627,,,,,,,,,,,,,,,,,
1/6/96,99627,,,,,,,,,,,,,,,,,
1/7/96,99627,,,,,,,,,,,,,,,,,
1/8/96,99627,,,,,,,,,,,,,,,,,
1/9/96,99627,,,,,,,,,,,,,,,,,
1/10/96,99627,,,,,,,,,,,,,,,,,
1/11/96,99627,,,,,,,,,,,,,,,,,
1/12/96,99627,,,,,,,,,,,,,,,,,
1/1/97,101018,,,,,,,,,,,,,,,,,
1/2/97,101018,,,,,,,,,,,,,,,,,
1/3/97,101018,,,,,,,,,,,,,,,,,
1/4/97,101018,,,,,,,,,,,,,,,,,
1/5/97,101018,,,,,,,,,,,,,,,,,
1/6/97,101018,,,,,,,,,,,,,,,,,
1/7/97,101018,,,,,,,,,,,,,,,,,
1/8/97,101018,,,,,,,,,,,,,,,,,
1/9/97,101018,,,,,,,,,,,,,,,,,
1/10/97,101018,,,,,,,,,,,,,,,,,
1/11/97,101018,,,,,,,,,,,,,,,,,
1/12/97,101018,,,,,,,,,,,,,,,,,
1/1/98,102528,,,,,,,,,,,,,,,,,
1/2/98,102528,,,,,,,,,,,,,,,,,
1/3/98,102528,,,,,,,,,,,,,,,,,
1/4/98,102528,,,,,,,,,,,,,,,,,
1/5/98,102528,,,,,,,,,,,,,,,,,
1/6/98,102528,,,,,,,,,,,,,,,,,
1/7/98,102528,,,,,,,,,,,,,,,,,
1/8/98,102528,,,,,,,,,,,,,,,,,
1/9/98,102528,,,,,,,,,,,,,,,,,
1/10/98,102528,,,,,,,,,,,,,,,,,
1/11/98,102528,,,,,,,,,,,,,,,,,
1/12/98,102528,,,,,,,,,,,,,,,,,
1/1/99,103874,,,,,,,,,,,,,,,,,
1/2/99,103874,,,,,,,,,,,,,,,,,
