Date,Sales,SP500Close,RDI,CPI,HPI,FFR,PSR,HE
1992-01-01,"$10,845",408.779999,25913,135.9,75.697,4.03,8.8,95776
1992-02-01,"$10,904",412.700012,26019,136.1,75.652,4.06,9.2,95888
1992-03-01,"$10,986",403.690002,26029,136.4,75.812,3.98,9.2,95984
1992-04-01,"$10,738",414.950012,26077,136.7,76.079,3.73,9.4,96309
1992-05-01,"$10,777",415.350006,26178,136.9,76.398,3.82,9.4,96456
1992-06-01,"$10,790",408.140015,26259,137.4,76.60300000000001,3.76,9.5,96586
1992-07-01,"$10,785",424.209991,26207,137.7,76.71300000000001,3.25,9.1,96426
1992-08-01,"$10,915",414.029999,26262,137.9,76.734,3.3,9.2,96383
1992-09-01,"$10,980",417.799988,26099,138.1,76.632,3.22,8.2,96469
1992-10-01,"$10,971",418.679993,25901,138.6,76.602,3.1,7.4,96674
1992-11-01,"$10,873",431.350006,25886,139,76.584,3.09,7.3,96766
1992-12-01,"$11,082",435.709991,26776,139.2,76.469,2.92,9.9,96665
1993-01-01,"$11,333",438.779999,26250,139.6,76.4,3.02,8.3,97001
1993-02-01,"$11,410",443.380005,26317,139.6,76.332,3.03,8.4,97063
1993-03-01,"$11,184",451.670013,26205,140,76.387,3.07,8.3,97090
1993-04-01,"$11,417",440.190002,26299,140.6,76.665,2.96,8.2,97142
1993-05-01,"$11,720",450.190002,26227,140.8,77.03399999999999,3,7.7,97195
1993-06-01,"$11,669",450.529999,26146,141.2,77.51899999999999,3.04,7.2,97409
1993-07-01,"$11,781",448.130005,26178,141.3,77.888,3.06,7,97703
1993-08-01,"$11,875",463.559998,26185,141.7,78.134,3.03,7.1,98203
1993-09-01,"$11,786",458.929993,26088,142,78.203,3.09,6.3,98359
1993-10-01,"$11,908",467.829987,25919,142.3,78.178,2.99,5.6,98472
1993-11-01,"$12,297",461.790009,25967,142.6,78.178,3.02,5.6,98579
1993-12-01,"$12,583",466.450012,26827,143,78.122,2.96,8.4,98395
1994-01-01,"$12,316",481.609985,26307,143.2,78.206,3.05,6.4,97962
1994-02-01,"$12,233",467.140015,26344,143.7,78.21300000000001,3.25,5.9,98033
1994-03-01,"$12,767",445.769989,26403,144.1,78.358,3.34,6.2,97950
1994-04-01,"$13,076",450.910004,26384,144,78.71300000000001,3.56,5.8,98142
1994-05-01,"$13,033",456.5,26676,144.4,79.221,4.01,7.1,98214
1994-06-01,"$12,987",444.269989,26597,144.6,79.714,4.25,6.3,98446
1994-07-01,"$13,130",458.26001,26591,144.8,80.075,4.26,6.4,98508
1994-08-01,"$13,224",475.48999,26600,145.3,80.328,4.47,5.9,98956
1994-09-01,"$13,375",462.709991,26682,145.5,80.34899999999999,4.73,6.2,99316
1994-10-01,"$13,550",472.350006,26901,145.7,80.312,4.76,6.5,99432
1994-11-01,"$13,384",453.690002,26867,146,80.17699999999999,5.29,6.4,99708
1994-12-01,"$13,981",459.269989,26967,146,80.087,5.45,6.5,99640
1995-01-01,"$13,738",470.420013,27056,146.6,80.038,5.53,6.9,99889
1995-02-01,"$13,613",487.390015,27094,146.9,80.008,5.92,7.3,99652
1995-03-01,"$13,587",500.709991,27137,147.2,80.097,5.98,7,99776
1995-04-01,"$13,415",514.710022,26904,147.6,80.39,6.05,6.3,99743
1995-05-01,"$13,370",533.400024,27142,147.9,80.712,6.01,6.5,100013
1995-06-01,"$13,548",544.75,27196,148.2,81.089,6,6.1,100041
1995-07-01,"$13,645",562.059998,27221,148.6,81.431,5.85,6.4,99910
1995-08-01,"$13,683",561.880005,27213,149,81.673,5.74,6.1,99910
1995-09-01,"$13,837",584.409973,27270,149.2,81.759,5.8,6.1,99802
1995-10-01,"$13,932",581.5,27273,149.8,81.749,5.76,6.5,100363
1995-11-01,"$14,092",605.369995,27321,150,81.654,5.8,6,100308
1995-12-01,"$14,683",615.929993,27331,150.3,81.53699999999999,5.6,5.5,100417
1996-01-01,"$14,023",636.02002,27353,150.9,81.45100000000001,5.56,6.1,100415
1996-02-01,"$14,036",640.429993,27542,151.2,81.42399999999999,5.22,6.1,100417
1996-03-01,"$14,153",645.5,27608,151.6,81.69,5.31,6,100585
1996-04-01,"$14,340",654.169983,27424,151.9,82.149,5.22,5,100826
1996-05-01,"$14,450",669.119995,27747,152.3,82.626,5.24,6.1,101157
